https://sbis.ru/contragents/7708753935/770801001	АО	Концерн "Системпром"	Мурзин Александр Петрович 	временный генеральный директор	 	Научные исследования и разработки в области естественных и технических наук прочиеНаучные исследования и разработки в области естественных и технических наук прочие!!!	Москва г, ул.Красносельская Нижн., д.13, стр.1,  105066  	37.665587	55.775489	http://www.systemprom.ru/http://www.systemprom.ru/!!!	98 млн р.	Действует с 30.12.2011    Имеет 2 лицензии  Действует с 30.12.2011    Имеет 2 лицензии  	7708753935	770801001	5117746071900	11402718   	
https://sbis.ru/contragents/5020034631/771401001	АО	Киоут	Москвичев Андрей Викторович 	генеральный директор	еще 1 компания	Научные исследования и разработки в области естественных и технических наук прочиеНаучные исследования и разработки в области естественных и технических наук прочие!!!	Москва г, проезд.Берёзовой Рощи, д.4, оф.201,  125252  	37.516117	55.784445	(49922)32000http://WWW.KIOUT.RU(49922)32000http://WWW.KIOUT.RU!!!	5 тыс р.5 тыс р.10 тыс р.	Действует с 13.02.2003   Имеет 14 филиалов   Имеет 6 лицензий  Действует с 13.02.2003   Имеет 14 филиалов   Имеет 6 лицензий  	5020034631	771401001	1035003952477	13338676   	
https://sbis.ru/contragents/2128023037/213001001	ООО	Системпром-Сервис	Биктимиров Геннадий Терентьевич 	директор	еще 1 компания	Производство компьютеров и периферийного оборудованияПроизводство компьютеров и периферийного оборудования!!!	г.Чебоксары, ул.Хузангая, д.14,  428027  	47.270042	56.092476	(8352)557920sysprom@bk.ru(8352)557920sysprom@bk.ru!!!	10,9 тыс р.10,9 тыс р.	Действует с 19.10.2000    Действует с 19.10.2000    	2128023037	213001001	1022101146781	43219499   	
https://sbis.ru/contragents/7711082420/771401001	ООО	Чоп "Бумеранг-Ф"	Осипов Александр Иванович 	генеральный директор	еще 42 компании	Деятельность частных охранных службДеятельность частных охранных служб!!!	Москва г, ул.Скаковая, д.13, к.1,  125040  	37.567491	55.776796	(495)5443964(495)5443964!!!	250 тыс р.250 тыс р.	Действует с 01.06.1998    Имеет 2 лицензии  Действует с 01.06.1998    Имеет 2 лицензии  	7711082420	771401001	1027739833747	18502469   	
https://sbis.ru/contragents/3662027793/366401001	ООО	Чоп "Бумеранг"	Басков Сергей Иванович 	генеральный директор	 	Деятельность частных охранных службДеятельность частных охранных служб!!!	г.Воронеж, ул.Донбасская, д.23,  394030  	39.173194	51.66692	(4732)717996(4732)717996!!!	127,5 тыс р.100 тыс р.22,5 тыс р.250 тыс р.	Действует с 01.09.1995    Имеет 4 лицензии  Действует с 01.09.1995    Имеет 4 лицензии  	3662027793	366401001	1033600011455	41212274   	
https://sbis.ru/contragents/2536117149/253701001	ООО	Бумеранг Плюс	Боровик Неллик  	директор	еще 3 компании	Производство прочей мебелиПроизводство прочей мебели!!!	г.Владивосток, ул.Командорская, д.11,  690080  			(4232)300642SEREDA@BOOMERANG.VL.RU(4232)300642SEREDA@BOOMERANG.VL.RU!!!	15,8 тыс р.47,5 тыс р.	Действует с 03.11.2002    Действует с 03.11.2002    	2536117149	253701001	1022501286642	04779753   	
https://sbis.ru/contragents/5047028515/504701001	ООО	ИКЕА Торг	Ханссон Пер Йоран Ингемар  	генеральный директор	 	Торговля оптовая текстильными изделиямиТорговля оптовая текстильными изделиями!!!	Московская обл, г.Химки, мкр.ИКЕА, к.1,  141407  	37.391987	55.908565	http://www.ikea.com/ruhttp://www.ikea.com/ru!!!	684,6 млн р.4,8 тыс р.684,6 млн р.	Действует с 14.05.1998   Имеет 1 филиал   Действует с 14.05.1998   Имеет 1 филиал   	5047028515	504701001	1035009550070	48780450   	
https://sbis.ru/contragents/5047076050/504701001	ООО	ИКЕА Дом	Каднар Вальтер  	генеральный директор	 	Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинахТорговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах!!!	Московская обл, г.Химки, мкр.ИКЕА, к.1,  141407  	37.391987	55.908565	ikea.russia@memo.ikea.comhttp://www.ikea.com/ruikea.russia@memo.ikea.comhttp://www.ikea.com/ru!!!	5,4 млн р.5,4 тыс р.5,4 млн р.	Действует с 14.07.2006   Имеет 46 филиалов   Имеет 41 лицензию  Действует с 14.07.2006   Имеет 46 филиалов   Имеет 41 лицензию  	5047076050	504701001	1065047056348	96283528   	
https://sbis.ru/contragents/5047028579/504701001	ООО	ИКЕА МОС (Торговля и Недвижимость)			Нет данных	Аренда и управление собственным или арендованным нежилым недвижимым имуществомАренда и управление собственным или арендованным нежилым недвижимым имуществом!!!	Московская обл, г.Химки, ул.Ленинградская, влд.39, стр.5,  141402  	37.411984	55.905518	(495)7375301pr@ikea.ru, pressa.ru@ikea.comhttp://www.ikea.com/(495)7375301pr@ikea.ru, pressa.ru@ikea.comhttp://www.ikea.com/!!!	867,6 млн р.6,9 тыс р.867,6 млн р.	В состоянии реорганизации, действует с 28.05.1998     Имеет 26 филиалов   Имеет 4 лицензии  В состоянии реорганизации, действует с 28.05.1998     Имеет 26 филиалов   Имеет 4 лицензии  	5047028579	504701001	1035009550080	48780510   	
https://sbis.ru/contragents/7802387972/780201001	ООО	Норманн-Холдинг	Смирнов Владимир Иванович 	генеральный директор	еще 3 компании	Деятельность по управлению финансово-промышленными группамиДеятельность по управлению финансово-промышленными группами!!!	Санкт-Петербург г, ул.Сердобольская, д.2-В, лит.А,  197343  	30.325561	59.992276	(812)4956166(812)4956166!!!	10 тыс р.10 тыс р.	Действует с 12.04.2007    Действует с 12.04.2007    	7802387972	780201001	1077847270148	80470725   	
